design,sbj,mpm,afi,asd
MWUD(4),78,1.1261608632456521,0.2600719165163012,0.13655393348035383
MWUD(4),79,1.1180584160746245,0.2602069087548946,0.13665924537727916
MWUD(4),80,0.9927001046166682,0.2601816078451463,0.13786832039078692
MWUD(4),81,1.1582919237367884,0.25969865229397787,0.13835529998419868
MWUD(4),82,1.1724923423166955,0.2597464687164116,0.138155222542689
MWUD(4),83,1.1779859279714069,0.2597972682020881,0.13892200222914014
MWUD(4),84,1.1840374828201827,0.2598501212352503,0.13763315198943965
MWUD(4),85,1.1800652269562684,0.259912479658148,0.13647048315375343
MWUD(4),86,1.1699523675344965,0.26003068495987375,0.1348655835146459
MWUD(4),87,1.1370545055236088,0.26040375860267684,0.1306122804175036
MWUD(4),88,1.1222614029201168,0.260674893463792,0.12823344858607919
MWUD(4),89,1.113487926945022,0.2607783118317001,0.12810169544242792
